{},{},"{{1400139, 219231, 92934}}","{{1475041, 139461, 97802}, {1488924, 124386, 98994}}"
{},{},"{{1371651, 249406, 91247}}","{{1444621, 172306, 95377}, {1458048, 157381, 96875}}"
{},{},"{{1343433, 279591, 89280}}","{{1414489, 205038, 92777}, {1427460, 190376, 94468}}"
{},{},{},"{{36980, 36980, 1638344}}"
{},"{{602988, 1037539, 71777}}",{},"{{534260, 1102975, 75069}, {536962, 1099536, 75806}}"
"{{851473, 472528, 388303}}","{{904573, 398563, 409168}, {892738, 403800, 415766}}","{{804819, 498737, 408748}, {825926, 470612, 415766}}","{{857919, 424772, 429613}, {863149, 413415, 435740}, {852259, 424305, 435740}, {857489, 412948, 441867}, {863107, 413208, 435989}}"
{},"{{557690, 1101630, 52984}, {547582, 1110767, 53955}}",{},"{{494439, 1162410, 55455}, {485085, 1171137, 56082}, {496943, 1158965, 56396}, {487589, 1167692, 57023}}"
"{{849369, 474961, 387974}}","{{902086, 401465, 408753}, {890423, 406306, 415575}}","{{802836, 501051, 408417}, {823610, 473119, 415575}}","{{855553, 427555, 429196}, {860763, 416219, 435322}, {849857, 427125, 435322}, {855067, 415789, 441448}, {860721, 415811, 435772}}"
"{{784930, 729070, 198304}, {810311, 682986, 219007}}","{{833394, 665498, 213412}, {820394, 675801, 216109}, {820690, 675280, 216334}}","{{727597, 771310, 213397}, {735582, 760964, 215758}, {745720, 749929, 216655}}","{{776061, 707738, 228505}, {769436, 712008, 230860}, {780443, 700686, 231175}, {769428, 712016, 230860}, {773810, 704964, 233530}, {780443, 700485, 231376}, {773818, 704755, 233731}}"
{},"{{546570, 1122376, 43358}, {536560, 1131192, 44552}}",{},"{{482892, 1184163, 45249}, {473412, 1193018, 45874}, {485268, 1180647, 46389}, {475788, 1189502, 47014}}"
"{{847299, 476542, 388463}}","{{899670, 403398, 409236}, {888178, 407912, 416214}}","{{800924, 502438, 408942}, {821365, 474725, 416214}}","{{853295, 429294, 429715}, {858484, 417964, 435856}, {847562, 428886, 435856}, {852751, 417556, 441997}, {858442, 417439, 436423}}"
"{{782684, 731252, 198368}, {807806, 685314, 219184}}","{{830791, 668069, 213444}, {817737, 678424, 216143}, {818257, 677538, 216509}}","{{725456, 773362, 213486}, {733393, 763062, 215849}, {743245, 752229, 216830}}","{{773563, 710179, 228562}, {766908, 714477, 230919}, {777923, 703147, 231234}, {766892, 714493, 230919}, {771252, 707461, 233591}, {777923, 702829, 231552}, {771268, 707127, 233909}}"
"{{759896, 754275, 198133}, {782111, 711264, 218929}}","{{806241, 693078, 212985}, {792786, 703612, 215906}, {793082, 703175, 216047}}","{{701928, 797127, 213249}, {709173, 787520, 215611}, {718104, 777624, 216576}}","{{748273, 735930, 228101}, {741171, 740676, 230457}, {752237, 729093, 230974}, {741163, 740684, 230457}, {745127, 733847, 233330}, {752237, 728976, 231091}, {745135, 733722, 233447}}"
