{},"{{{16, 4}, {7, 6}}, {{16, 4}, {7, 8}}}",{},"{{{16, 3}, {6, 5}}, {{16, 3}, {6, 7}}, {{16, 3}, {6, 8}}, {{16, 3}, {7, 8}}}"
"{{{16, 4}, {11, 3}}}","{{{16, 4}, {11, 2}}, {{16, 4}, {12, 3}}}","{{{15, 2}, {12, 4}}, {{16, 3}, {12, 4}}}","{{{16, 3}, {10, 1}}, {{16, 3}, {10, 4}}, {{16, 3}, {11, 2}}, {{16, 3}, {11, 4}}, {{16, 3}, {12, 2}}}"
"{{{16, 4}, {11, 7}}, {{16, 4}, {12, 8}}}","{{{16, 4}, {11, 6}}, {{16, 4}, {11, 8}}, {{16, 4}, {12, 7}}}","{{{15, 2}, {12, 8}}, {{15, 4}, {12, 8}}, {{16, 3}, {12, 8}}}","{{{16, 3}, {10, 5}}, {{16, 3}, {10, 7}}, {{16, 3}, {10, 8}}, {{16, 3}, {11, 6}}, {{16, 3}, {11, 8}}, {{16, 3}, {12, 6}}, {{16, 3}, {12, 7}}}"
{},"{{{16, 4}, {11, 10}}, {{16, 4}, {11, 12}}}",{},"{{{16, 3}, {10, 9}}, {{16, 3}, {10, 11}}, {{16, 3}, {10, 12}}, {{16, 3}, {11, 12}}}"
"{{{16, 4}, {15, 3}}}","{{{16, 4}, {15, 2}}}",{},"{{{16, 3}, {14, 1}}, {{16, 3}, {14, 4}}, {{16, 3}, {15, 4}}}"
{},"{{{16, 8}, {3, 2}}, {{16, 8}, {3, 4}}}",{},"{{{16, 7}, {2, 1}}, {{16, 7}, {2, 3}}, {{16, 7}, {2, 4}}, {{16, 7}, {3, 4}}}"
"{{{16, 8}, {7, 3}}}","{{{16, 8}, {7, 2}}, {{16, 8}, {7, 4}}}","{{{15, 6}, {8, 4}}, {{16, 7}, {8, 4}}}","{{{16, 7}, {6, 1}}, {{16, 7}, {6, 3}}, {{16, 7}, {6, 4}}, {{16, 7}, {8, 2}}, {{16, 7}, {8, 3}}}"
{},"{{{16, 8}, {7, 6}}}",{},"{{{16, 7}, {6, 5}}, {{16, 7}, {6, 8}}}"
"{{{16, 8}, {11, 3}}, {{16, 8}, {12, 4}}}","{{{16, 8}, {11, 2}}, {{16, 8}, {11, 4}}, {{16, 8}, {12, 3}}}","{{{15, 6}, {12, 4}}, {{15, 8}, {12, 4}}, {{16, 7}, {12, 4}}}","{{{16, 7}, {10, 1}}, {{16, 7}, {10, 3}}, {{16, 7}, {10, 4}}, {{16, 7}, {11, 2}}, {{16, 7}, {11, 4}}, {{16, 7}, {12, 2}}, {{16, 7}, {12, 3}}}"
"{{{16, 8}, {11, 7}}}","{{{16, 8}, {11, 6}}, {{16, 8}, {12, 7}}}","{{{15, 6}, {12, 8}}, {{16, 7}, {12, 8}}}","{{{16, 7}, {10, 5}}, {{16, 7}, {10, 8}}, {{16, 7}, {11, 6}}, {{16, 7}, {11, 8}}, {{16, 7}, {12, 6}}}"
{},"{{{16, 8}, {11, 10}}, {{16, 8}, {11, 12}}}",{},"{{{16, 7}, {10, 9}}, {{16, 7}, {10, 11}}, {{16, 7}, {10, 12}}, {{16, 7}, {11, 12}}}"
